Year,Month,Day,Hour,Minute,DB,DP,RelHum,Pressure,extHor,extDNI,LW,GHI,DNI,DHI,glbeIll,drctIll,diffIll,zenIll,winddir,windspeed,TCC,opaque_cover,visibility,cbh,weather_obs,weather_code,precipitable_H2O,optical_depth,snow_depth,days_since_snow,albedo,precip_depth,precip_quantity
2021,1,1,1,0,6.39,0.87,68,100591,9999,9999,307,0,0,0,0,0,0,0,243,6.87,8,8,9999,872,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,1,2,0,5.88,1.02,71,100665,9999,9999,305,0,0,0,0,0,0,0,241,6.53,4,4,9999,921,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,1,3,0,5.37,0.82,72,100718,9999,9999,279,0,0,0,0,0,0,0,245,6.47,4,4,9999,1610,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,1,4,0,4.86,0.11,71,100802,9999,9999,277,0,0,0,0,0,0,0,250,6.52,3,3,9999,2300,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,1,5,0,4.18,-0.05,74,100866,9999,9999,259,0,0,0,0,0,0,0,260,5.74,0,0,9999,2990,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,1,6,0,4.09,-0.05,74,100988,9999,9999,256,0,0,0,0,0,0,0,263,5.51,0,0,9999,3680,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,1,7,0,4.21,-0.05,74,101051,9999,9999,254,0,0,0,0,0,0,0,265,5.01,0,0,9999,4369,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,1,8,0,4.01,0.01,75,101134,9999,9999,253,0,0,0,0,0,0,0,267,4.45,0,0,9999,5059,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,1,9,0,4.24,0.41,76,101263,9999,9999,252,25,0,12,3774,0,1811,482,260,3.87,0,0,9999,5749,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,1,10,0,6.86,1.41,68,101342,9999,9999,253,182,583,54,19531,59732,7235,4538,267,4.27,0,0,9999,6438,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,1,11,0,7.83,1.78,66,101409,9999,9999,256,365,758,75,38835,77546,9996,4135,276,4.54,0,0,9999,7128,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,1,12,0,8.95,1.93,61,101407,9999,9999,259,515,847,86,54614,86501,11560,3487,279,4.72,1,1,9999,7818,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,1,13,0,9.93,2.24,59,101351,9999,9999,263,609,888,91,64526,90568,12350,3073,285,4.78,2,2,9999,8508,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,1,14,0,10.76,2.65,56,101295,9999,9999,268,629,857,110,66318,87282,14828,3226,285,4.49,4,4,9999,9197,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,1,15,0,11.13,2.89,56,101282,9999,9999,273,583,808,119,61340,82335,15869,3616,285,4.33,6,6,9999,9887,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,1,16,0,11.67,3.49,56,101288,9999,9999,277,474,730,116,49942,74585,15276,4426,287,4.07,7,7,9999,9854,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,1,17,0,11.28,4.43,63,101417,9999,9999,281,306,543,110,34577,56318,14187,7053,307,3.58,8,8,9999,9859,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,1,18,0,10.48,3.96,64,101457,9999,9999,278,139,387,65,14895,39770,8601,5834,314,3.57,9,9,9999,9786,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,1,19,0,9.44,3.41,66,101530,9999,9999,276,12,0,9,1842,0,1380,339,323,3.12,9,9,9999,9703,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,1,20,0,8.86,3.4,69,101630,9999,9999,271,0,0,0,0,0,0,0,324,3.11,6,6,9999,9197,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,1,21,0,8.23,3.15,70,101743,9999,9999,269,0,0,0,0,0,0,0,323,3.26,5,5,9999,8691,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,1,22,0,6.7,2.48,74,101777,9999,9999,264,0,0,0,0,0,0,0,328,2.97,3,3,9999,8186,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,1,23,0,6.41,2.36,75,101838,9999,9999,261,0,0,0,0,0,0,0,329,2.42,1,1,9999,7680,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,1,24,0,5.44,1.9,78,101834,9999,9999,259,0,0,0,0,0,0,0,332,1.85,1,1,9999,7174,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,2,1,0,4.9,1.49,79,101851,9999,9999,257,0,0,0,0,0,0,0,311,1.79,0,0,9999,6668,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,2,2,0,4.9,1.54,79,101891,9999,9999,263,0,0,0,0,0,0,0,294,1.84,0,0,9999,6163,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,2,3,0,4.88,1.47,79,101898,9999,9999,254,0,0,0,0,0,0,0,287,1.98,0,0,9999,5657,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,2,4,0,4.79,1.23,78,101901,9999,9999,255,0,0,0,0,0,0,0,283,2.33,0,0,9999,5151,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,2,5,0,3.84,1.53,85,101885,9999,9999,254,0,0,0,0,0,0,0,301,2.25,3,3,9999,4645,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,2,6,0,3.86,1.43,84,101912,9999,9999,257,0,0,0,0,0,0,0,293,2.55,3,3,9999,4218,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,2,7,0,4.31,1.42,81,101924,9999,9999,263,0,0,0,0,0,0,0,290,2.75,1,1,9999,3937,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,2,8,0,4.25,1.15,80,101987,9999,9999,268,0,0,0,0,0,0,0,289,2.84,1,1,9999,3827,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,2,9,0,4.71,1.54,80,102038,9999,9999,265,22,0,12,3321,0,1810,482,287,3.27,1,1,9999,3813,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,2,10,0,6.96,2.09,71,102114,9999,9999,255,174,542,55,18681,55577,7362,4620,296,3.67,0,0,9999,4132,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,2,11,0,8.08,1.64,64,102154,9999,9999,257,354,731,73,37687,74780,9745,4045,308,4.42,0,0,9999,4450,9,999999999,0.0,999,0.0,99,0.15,0.0,1
2021,1,2,12,0,9.28,2.03,60,102114,9999,9999,259,511,834,88,54161,85173,11813,3541,311,4.54,0,0,9999,4769,9,999999999,0.0,999,0.0,99,0.15,0.0,1
