,"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),surface_solar_radiation (W/m^2),soil_temperature_level_4 (degC)
2021-01-01 01:00:00,"(44.9635, -93.2678)",era5,273.83,-6.0,-6.73,0.0,5.7
2021-01-01 02:00:00,"(44.9635, -93.2678)",era5,273.83,-6.0,-7.25,0.0,5.7
2021-01-01 03:00:00,"(44.9635, -93.2678)",era5,273.83,-6.0,-8.17,0.0,5.69
2021-01-01 04:00:00,"(44.9635, -93.2678)",era5,273.83,-6.0,-8.45,0.0,5.69
2021-01-01 05:00:00,"(44.9635, -93.2678)",era5,273.83,-6.0,-8.4,0.0,5.68
2021-01-01 06:00:00,"(44.9635, -93.2678)",era5,273.83,-6.0,-8.75,0.0,5.68
2021-01-01 07:00:00,"(44.9635, -93.2678)",era5,273.83,-6.0,-8.56,0.0,5.67
2021-01-01 08:00:00,"(44.9635, -93.2678)",era5,273.83,-6.0,-8.67,0.0,5.67
2021-01-01 09:00:00,"(44.9635, -93.2678)",era5,273.83,-6.0,-9.2,0.0,5.66
2021-01-01 10:00:00,"(44.9635, -93.2678)",era5,273.83,-6.0,-9.52,0.0,5.66
2021-01-01 11:00:00,"(44.9635, -93.2678)",era5,273.83,-6.0,-9.52,0.0,5.65
2021-01-01 12:00:00,"(44.9635, -93.2678)",era5,273.83,-6.0,-9.62,0.0,5.65
2021-01-01 13:00:00,"(44.9635, -93.2678)",era5,273.83,-6.0,-9.78,0.0,5.64
2021-01-01 14:00:00,"(44.9635, -93.2678)",era5,273.83,-6.0,-9.91,0.07,5.64
2021-01-01 15:00:00,"(44.9635, -93.2678)",era5,273.83,-6.0,-9.73,38.29,5.63
2021-01-01 16:00:00,"(44.9635, -93.2678)",era5,273.83,-6.0,-9.34,122.65,5.63
2021-01-01 17:00:00,"(44.9635, -93.2678)",era5,273.83,-6.0,-8.52,212.04,5.62
2021-01-01 18:00:00,"(44.9635, -93.2678)",era5,273.83,-6.0,-8.23,253.3,5.61
2021-01-01 19:00:00,"(44.9635, -93.2678)",era5,273.83,-6.0,-7.71,256.3,5.61
