datetime (UTC),"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),dewpoint_temperature (degC),wind_speed (m/s),surface_pressure (Pa)
1/1/2018 0:00,"(41.01, -85.21)",era5,249.23,-5,-15.8,-18.37,3.53,100248.72
1/1/2018 1:00,"(41.01, -85.21)",era5,249.23,-5,-16.15,-18.62,3.49,100290.41
1/1/2018 2:00,"(41.01, -85.21)",era5,249.23,-5,-15.55,-18.19,3.19,100288.49
1/1/2018 3:00,"(41.01, -85.21)",era5,249.23,-5,-15.75,-18.34,2.77,100295.78
1/1/2018 4:00,"(41.01, -85.21)",era5,249.23,-5,-15.6,-17.85,2.63,100313.74
1/1/2018 5:00,"(41.01, -85.21)",era5,249.23,-5,-15.25,-17.24,2.61,100323.98
1/1/2018 6:00,"(41.01, -85.21)",era5,249.23,-5,-14.64,-16.45,2.83,100334.48
1/1/2018 7:00,"(41.01, -85.21)",era5,249.23,-5,-13.84,-15.64,3.32,100356.28
1/1/2018 8:00,"(41.01, -85.21)",era5,249.23,-5,-14,-15.89,3.95,100394.61
1/1/2018 9:00,"(41.01, -85.21)",era5,249.23,-5,-14.55,-16.67,4.41,100408.78
1/1/2018 10:00,"(41.01, -85.21)",era5,249.23,-5,-15.41,-18.06,4.76,100396.01
1/1/2018 11:00,"(41.01, -85.21)",era5,249.23,-5,-16.07,-18.75,4.71,100412.52
1/1/2018 12:00,"(41.01, -85.21)",era5,249.23,-5,-16.89,-19.62,4.69,100463.83
1/1/2018 13:00,"(41.01, -85.21)",era5,249.23,-5,-17.56,-20.27,4.73,100473.41
1/1/2018 14:00,"(41.01, -85.21)",era5,249.23,-5,-17.6,-20.44,5.02,100547.99
1/1/2018 15:00,"(41.01, -85.21)",era5,249.23,-5,-17.35,-20.61,5.08,100596.83
1/1/2018 16:00,"(41.01, -85.21)",era5,249.23,-5,-17.11,-20.24,5.59,100665.55
1/1/2018 17:00,"(41.01, -85.21)",era5,249.23,-5,-16.65,-19.86,5.43,100644.23
