datetime (UTC),"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),relative_humidity (0-1),wind_speed (m/s),surface_solar_radiation (W/m^2),surface_thermal_radiation (W/m^2)
2019-01-01 00:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-6.05,0.80,6.41,0.00,273.71
2019-01-01 01:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-6.55,0.77,6.34,0.00,264.11
2019-01-01 02:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-7.43,0.75,6.22,0.00,256.70
2019-01-01 03:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-9.39,0.70,5.85,0.00,251.43
2019-01-01 04:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-10.12,0.69,5.79,0.00,232.03
2019-01-01 05:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-11.24,0.68,5.63,0.00,229.58
2019-01-01 06:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-12.93,0.70,5.27,0.00,225.20
2019-01-01 07:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-13.44,0.69,4.76,0.00,225.36
2019-01-01 08:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-14.18,0.72,4.42,0.00,219.65
2019-01-01 09:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-15.96,0.70,4.18,0.00,193.11
2019-01-01 10:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-18.13,0.74,4.20,0.00,182.67
2019-01-01 11:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-18.25,0.74,3.58,0.00,169.01
2019-01-01 12:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-18.68,0.75,2.93,0.00,160.53
2019-01-01 13:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-18.97,0.75,2.11,0.00,165.66
2019-01-01 14:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-19.36,0.76,2.48,0.06,171.21
2019-01-01 15:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-18.69,0.72,2.90,49.03,179.21
2019-01-01 16:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-18.37,0.71,2.60,162.79,171.62
2019-01-01 17:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-17.23,0.69,2.26,269.83,179.96
2019-01-01 18:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-16.33,0.67,1.39,299.92,194.09
2019-01-01 19:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-15.54,0.65,1.31,368.45,172.80
2019-01-01 20:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-14.52,0.63,1.45,333.03,174.58
2019-01-01 21:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-13.89,0.62,1.38,241.91,174.40
2019-01-01 22:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-15.26,0.68,1.18,126.48,177.44
2019-01-01 23:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-15.84,0.65,1.78,17.91,167.28
2019-01-02 00:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-14.76,0.64,1.66,0.00,166.77
2019-01-02 01:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-15.38,0.70,1.99,0.00,165.13
2019-01-02 02:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-15.98,0.72,2.28,0.00,164.32
2019-01-02 03:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-17.53,0.77,2.82,0.00,163.72
2019-01-02 04:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-19.27,0.82,2.88,0.00,163.43
2019-01-02 05:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-20.38,0.83,3.13,0.00,163.26
2019-01-02 06:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-21.89,0.86,3.07,0.00,163.57
2019-01-02 07:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-21.32,0.83,2.49,0.00,168.17
2019-01-02 08:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-19.84,0.78,2.72,0.00,173.20
2019-01-02 09:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-18.93,0.73,3.06,0.00,183.38
2019-01-02 10:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-14.13,0.77,3.37,0.00,187.35
2019-01-02 11:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-13.55,0.76,3.66,0.00,213.72
2019-01-02 12:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-12.86,0.75,3.81,0.00,243.10
2019-01-02 13:00:00,"(44.9773, -93.265469)",era5,273.61,-6.00,-12.19,0.75,4.15,0.00,235.66
