,"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),surface_solar_radiation (W/m^2),surface_thermal_radiation (W/m^2),relative_humidity (0-1),wind_speed (m/s)
2018-12-31 00:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.2,0.0,219.48,0.66,1.85
2018-12-31 01:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.41,0.0,220.51,0.68,2.26
2018-12-31 02:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.39,0.0,236.59,0.7,2.38
2018-12-31 03:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.35,0.0,246.7,0.73,2.45
2018-12-31 04:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.4,0.0,223.53,0.75,2.81
2018-12-31 05:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.06,0.0,223.23,0.77,2.96
2018-12-31 06:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.29,0.0,224.18,0.78,2.62
2018-12-31 07:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-0.25,0.0,226.5,0.78,2.66
2018-12-31 08:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-0.36,0.0,228.01,0.8,2.68
2018-12-31 09:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-0.25,0.0,228.85,0.82,2.79
2018-12-31 10:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.27,0.0,231.3,0.84,2.5
2018-12-31 11:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.33,0.0,235.39,0.85,2.27
2018-12-31 12:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.37,0.0,237.36,0.87,2.26
2018-12-31 13:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,-1.39,18.32,242.57,0.88,2.85
2018-12-31 14:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,0.78,122.88,244.74,0.83,2.68
2018-12-31 15:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,3.02,253.45,241.87,0.76,2.34
2018-12-31 16:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,4.31,305.27,255.45,0.7,3.5
2018-12-31 17:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,5.61,350.35,262.71,0.63,3.33
2018-12-31 18:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,6.2,342.66,261.66,0.59,3.83
2018-12-31 19:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,6.13,221.88,286.94,0.59,3.97
2018-12-31 20:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,5.7,117.08,295.73,0.62,3.65
2018-12-31 21:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,5.21,35.26,298.75,0.65,4.01
2018-12-31 22:00:00,"(42.3736, -71.1097)",era5,39.39,-5.0,4.89,1.35,299.49,0.67,3.45
